,Tipo,Ano,Local,Seção,Seção (Nome),Total
240,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",397
241,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",33
242,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",962
243,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",3032
244,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",15
245,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",37
246,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",1413
247,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",386
248,N° de funcionários,2019,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",388
249,N° de funcionários,2019,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",15
250,N° de funcionários,2019,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",786
251,N° de funcionários,2019,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",3201
252,N° de funcionários,2019,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",12
